Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.513393,0.515625,0.513393,0.513393,0.420087,117258400
1980-12-15,0.488839,0.488839,0.486607,0.486607,0.398169,43971200
1980-12-16,0.453125,0.453125,0.450893,0.450893,0.368946,26432000
1980-12-17,0.462054,0.464286,0.462054,0.462054,0.378078,21610400
1980-12-18,0.475446,0.477679,0.475446,0.475446,0.389037,18362400
1980-12-19,0.504464,0.506696,0.504464,0.504464,0.412781,12157600
1980-12-22,0.529018,0.531250,0.529018,0.529018,0.432872,9340800
1980-12-23,0.551339,0.553571,0.551339,0.551339,0.451137,11737600
1980-12-24,0.580357,0.582589,0.580357,0.580357,0.474881,12000800
1980-12-26,0.633929,0.636161,0.633929,0.633929,0.518716,13893600
1980-12-29,0.642857,0.645089,0.642857,0.642857,0.526022,23290400
1980-12-30,0.629464,0.629464,0.627232,0.627232,0.513237,17220000
1980-12-31,0.611607,0.611607,0.609375,0.609375,0.498625,8937600
1981-01-02,0.616071,0.620536,0.616071,0.616071,0.504104,5415200
1981-01-05,0.604911,0.604911,0.602679,0.602679,0.493146,8932000
1981-01-06,0.578125,0.578125,0.575893,0.575893,0.471228,11289600
1981-01-07,0.553571,0.553571,0.551339,0.551339,0.451137,13921600
1981-01-08,0.542411,0.542411,0.540179,0.540179,0.442005,9956800
1981-01-09,0.569196,0.571429,0.569196,0.569196,0.465749,5376000
1981-01-12,0.569196,0.569196,0.564732,0.564732,0.462096,5924800
1981-01-13,0.546875,0.546875,0.544643,0.544643,0.445658,5762400
1981-01-14,0.546875,0.549107,0.546875,0.546875,0.447484,3572800
1981-01-15,0.558036,0.562500,0.558036,0.558036,0.456616,3516800
1981-01-16,0.555804,0.555804,0.553571,0.553571,0.452963,3348800
1981-01-19,0.587054,0.589286,0.587054,0.587054,0.480360,10393600
1981-01-20,0.571429,0.571429,0.569196,0.569196,0.465749,7520800
1981-01-21,0.580357,0.584821,0.580357,0.580357,0.474881,3976000
1981-01-22,0.587054,0.591518,0.587054,0.587054,0.480360,8887200
1981-01-23,0.587054,0.589286,0.584821,0.584821,0.478534,2805600
1981-01-26,0.578125,0.578125,0.575893,0.575893,0.471228,6160000
1981-01-27,0.575893,0.575893,0.571429,0.571429,0.467575,5924800
1981-01-28,0.555804,0.555804,0.553571,0.553571,0.452963,7039200
1981-01-29,0.535714,0.535714,0.533482,0.533482,0.436525,10976000
1981-01-30,0.508929,0.508929,0.504464,0.504464,0.412781,11547200
1981-02-02,0.477679,0.477679,0.475446,0.475446,0.389037,5941600
1981-02-03,0.493304,0.495536,0.493304,0.493304,0.403649,4788000
1981-02-04,0.511161,0.513393,0.511161,0.511161,0.418261,6966400
1981-02-05,0.511161,0.515625,0.511161,0.511161,0.418261,1982400
1981-02-06,0.513393,0.515625,0.513393,0.513393,0.420087,3466400
1981-02-09,0.491071,0.491071,0.486607,0.486607,0.398169,4188800
1981-02-10,0.486607,0.488839,0.486607,0.486607,0.398169,4586400
1981-02-11,0.473214,0.473214,0.470982,0.470982,0.385384,3460800
1981-02-12,0.468750,0.468750,0.466518,0.466518,0.381731,3640000
1981-02-13,0.459821,0.459821,0.455357,0.455357,0.372599,2788800
1981-02-17,0.466518,0.468750,0.466518,0.466518,0.381731,3068800
1981-02-18,0.486607,0.491071,0.486607,0.486607,0.398169,4810400
1981-02-19,0.459821,0.459821,0.457589,0.457589,0.374425,5577600
1981-02-20,0.435268,0.435268,0.433036,0.433036,0.354334,6092800
1981-02-23,0.439732,0.441964,0.439732,0.439732,0.359814,3528000
1981-02-24,0.428571,0.428571,0.424107,0.424107,0.347028,4244800
1981-02-25,0.450893,0.453125,0.450893,0.450893,0.368946,4872000
1981-02-26,0.457589,0.459821,0.457589,0.457589,0.374425,2710400
1981-02-27,0.473214,0.477679,0.473214,0.473214,0.387210,3690400
1981-03-02,0.475446,0.477679,0.475446,0.475446,0.389037,2940000
1981-03-03,0.470982,0.470982,0.468750,0.468750,0.383558,4043200
1981-03-04,0.466518,0.466518,0.464286,0.464286,0.379905,3427200
1981-03-05,0.464286,0.464286,0.462054,0.462054,0.378078,1344000
1981-03-06,0.462054,0.462054,0.457589,0.457589,0.374425,2900800
1981-03-09,0.424107,0.424107,0.421875,0.421875,0.345202,3830400
1981-03-10,0.404018,0.404018,0.401786,0.401786,0.328764,7095200
1981-03-11,0.390625,0.390625,0.386161,0.386161,0.315978,7464800
1981-03-12,0.401786,0.404018,0.401786,0.401786,0.328764,14812000
1981-03-13,0.399554,0.399554,0.397321,0.397321,0.325111,57825600
1981-03-16,0.412946,0.417411,0.412946,0.412946,0.337896,9307200
1981-03-17,0.433036,0.437500,0.433036,0.433036,0.354334,10936800
1981-03-18,0.459821,0.464286,0.459821,0.459821,0.376252,9234400
1981-03-19,0.457589,0.457589,0.455357,0.455357,0.372599,9452800
1981-03-20,0.459821,0.464286,0.459821,0.459821,0.376252,3651200
1981-03-23,0.477679,0.482143,0.477679,0.477679,0.390863,5504800
1981-03-24,0.477679,0.477679,0.475446,0.475446,0.389037,7039200
1981-03-25,0.470982,0.470982,0.466518,0.466518,0.381731,1764000
1981-03-26,0.459821,0.459821,0.457589,0.457589,0.374425,3068800
1981-03-27,0.444196,0.444196,0.441964,0.441964,0.361640,3063200
1981-03-30,0.441964,0.446429,0.441964,0.441964,0.361640,2475200
1981-03-31,0.441964,0.441964,0.437500,0.437500,0.357987,3998400
1981-04-01,0.435268,0.435268,0.433036,0.433036,0.354334,8517600
1981-04-02,0.470982,0.473214,0.470982,0.470982,0.385384,7851200
1981-04-03,0.473214,0.475446,0.473214,0.473214,0.387210,4121600
1981-04-06,0.466518,0.466518,0.464286,0.464286,0.379905,5700800
1981-04-07,0.462054,0.462054,0.459821,0.459821,0.376252,2671200
1981-04-08,0.482143,0.486607,0.482143,0.482143,0.394516,5488000
1981-04-09,0.491071,0.493304,0.491071,0.491071,0.401822,3124800
1981-04-10,0.497768,0.500000,0.497768,0.497768,0.407302,8366400
1981-04-13,0.497768,0.500000,0.497768,0.497768,0.407302,4015200
1981-04-14,0.497768,0.500000,0.497768,0.497768,0.407302,1663200
1981-04-15,0.475446,0.475446,0.473214,0.473214,0.387210,8512000
1981-04-16,0.448661,0.448661,0.446429,0.446429,0.365293,5969600
1981-04-20,0.459821,0.462054,0.459821,0.459821,0.376252,8836800
1981-04-21,0.491071,0.493304,0.491071,0.491071,0.401822,7134400
1981-04-22,0.508929,0.511161,0.508929,0.508929,0.416434,4748800
1981-04-23,0.522321,0.524554,0.522321,0.522321,0.427393,14504000
1981-04-24,0.522321,0.522321,0.517857,0.517857,0.423740,8764000
1981-04-27,0.515625,0.515625,0.513393,0.513393,0.420087,9632000
1981-04-28,0.506696,0.506696,0.504464,0.504464,0.412781,8047200
1981-04-29,0.500000,0.500000,0.497768,0.497768,0.407302,3410400
1981-04-30,0.506696,0.511161,0.506696,0.506696,0.414607,3152800
1981-05-01,0.506696,0.511161,0.506696,0.506696,0.414607,4138400
1981-05-04,0.506696,0.506696,0.504464,0.504464,0.412781,3612000
1981-05-05,0.504464,0.504464,0.502232,0.502232,0.410955,4384800
1981-05-06,0.491071,0.491071,0.488839,0.488839,0.399996,4737600
1981-05-07,0.495536,0.497768,0.495536,0.495536,0.405475,2340800
1981-05-08,0.500000,0.502232,0.500000,0.500000,0.409128,1976800
1981-05-11,0.491071,0.491071,0.488839,0.488839,0.399996,2984800
1981-05-12,0.488839,0.495536,0.488839,0.488839,0.399996,1064000
1981-05-13,0.488839,0.493304,0.486607,0.486607,0.398169,1226400
1981-05-14,0.484375,0.484375,0.479911,0.479911,0.392690,1232000
1981-05-15,0.491071,0.497768,0.491071,0.491071,0.401822,1226400
1981-05-18,0.500000,0.504464,0.500000,0.500000,0.409128,1041600
1981-05-19,0.493304,0.493304,0.491071,0.491071,0.401822,6356000
1981-05-20,0.506696,0.511161,0.506696,0.506696,0.414607,3320800
1981-05-21,0.535714,0.537946,0.535714,0.535714,0.438352,8052800
1981-05-22,0.560268,0.564732,0.560268,0.560268,0.458443,7856800
1981-05-26,0.560268,0.560268,0.558036,0.558036,0.456616,21336000
1981-05-27,0.589286,0.591518,0.589286,0.589286,0.482187,37374400
1981-05-28,0.589286,0.591518,0.589286,0.589286,0.482187,18496800
1981-05-29,0.591518,0.593750,0.591518,0.591518,0.484013,14845600
1981-06-01,0.591518,0.593750,0.591518,0.591518,0.484013,12812800
1981-06-02,0.564732,0.564732,0.562500,0.562500,0.460269,10108000
1981-06-03,0.562500,0.566964,0.562500,0.562500,0.460269,9861600
1981-06-04,0.573661,0.575893,0.573661,0.573661,0.469401,14016800
1981-06-05,0.566964,0.566964,0.564732,0.564732,0.462096,14420000
1981-06-08,0.546875,0.546875,0.544643,0.544643,0.445658,23374400
1981-06-09,0.555804,0.558036,0.555804,0.555804,0.454790,29898400
1981-06-10,0.562500,0.569196,0.562500,0.562500,0.460269,6305600
1981-06-11,0.587054,0.589286,0.587054,0.587054,0.480360,9744000
1981-06-12,0.582589,0.582589,0.580357,0.580357,0.474881,6451200
1981-06-15,0.580357,0.580357,0.578125,0.578125,0.473054,35940800
1981-06-16,0.569196,0.569196,0.566964,0.566964,0.463922,9312800
1981-06-17,0.560268,0.560268,0.558036,0.558036,0.456616,6893600
1981-06-18,0.558036,0.560268,0.555804,0.555804,0.454790,5762400
1981-06-19,0.542411,0.542411,0.540179,0.540179,0.442005,6876800
1981-06-22,0.522321,0.522321,0.520089,0.520089,0.425566,2710400
1981-06-23,0.529018,0.533482,0.529018,0.529018,0.432872,3757600
1981-06-24,0.520089,0.520089,0.515625,0.515625,0.421913,5756800
1981-06-25,0.526786,0.529018,0.526786,0.526786,0.431046,6064800
1981-06-26,0.524554,0.524554,0.520089,0.520089,0.425566,5947200
1981-06-29,0.506696,0.506696,0.502232,0.502232,0.410955,2648800
1981-06-30,0.466518,0.466518,0.464286,0.464286,0.379905,8976800
1981-07-01,0.462054,0.462054,0.459821,0.459821,0.376252,42616000
1981-07-02,0.459821,0.462054,0.459821,0.459821,0.376252,7571200
1981-07-06,0.448661,0.448661,0.444196,0.444196,0.363467,4132800
